일자,지역,성별,연령,분야,건수
2025-08,부산광역시,여성,80,경찰_검찰_법원,1
2025-08,부산광역시,여성,80,산업_통상,9
2025-08,서울특별시,남성,10,경찰_검찰_법원,13
2025-08,서울특별시,남성,10,교육,26
2025-08,서울특별시,남성,10,교통,25
2025-08,서울특별시,남성,10,국방,8
2025-08,서울특별시,남성,10,기타,14
2025-08,서울특별시,남성,10,노동,1
2025-08,서울특별시,남성,10,도로,1
2025-08,서울특별시,남성,10,문화,9
2025-08,서울특별시,남성,10,방송통신,6
2025-08,서울특별시,남성,10,보건,4
2025-08,서울특별시,남성,10,복지,5
2025-08,서울특별시,남성,10,산업_통상,7
2025-08,서울특별시,남성,10,세무,1
2025-08,서울특별시,남성,10,수자원,2
2025-08,서울특별시,남성,10,외무통일,2
2025-08,서울특별시,남성,10,재정,2
2025-08,서울특별시,남성,10,주택_건축,1
2025-08,서울특별시,남성,10,체육,4
2025-08,서울특별시,남성,10,해양수산,1
2025-08,서울특별시,남성,10,행정_안전,6
2025-08,서울특별시,남성,20,경찰_검찰_법원,121
2025-08,서울특별시,남성,20,과학기술,40
2025-08,서울특별시,남성,20,관광,15
2025-08,서울특별시,남성,20,교육,55
2025-08,서울특별시,남성,20,교통,226
2025-08,서울특별시,남성,20,국방,134
2025-08,서울특별시,남성,20,기타,59
2025-08,서울특별시,남성,20,노동,61
2025-08,서울특별시,남성,20,농림_축산,6
2025-08,서울특별시,남성,20,도로,44
2025-08,서울특별시,남성,20,도시,8
2025-08,서울특별시,남성,20,문화,26
2025-08,서울특별시,남성,20,방송통신,36
2025-08,서울특별시,남성,20,보건,111
2025-08,서울특별시,남성,20,복지,16
2025-08,서울특별시,남성,20,산업_통상,127
2025-08,서울특별시,남성,20,세무,10
2025-08,서울특별시,남성,20,수자원,4
2025-08,서울특별시,남성,20,외무통일,20
2025-08,서울특별시,남성,20,우정,5
2025-08,서울특별시,남성,20,재정,40
2025-08,서울특별시,남성,20,주택_건축,92
2025-08,서울특별시,남성,20,체육,15
2025-08,서울특별시,남성,20,해양수산,5
2025-08,서울특별시,남성,20,행정_안전,147
2025-08,서울특별시,남성,20,환경,51
2025-08,서울특별시,남성,30,경찰_검찰_법원,420
2025-08,서울특별시,남성,30,과학기술,103
2025-08,서울특별시,남성,30,관광,48
2025-08,서울특별시,남성,30,교육,83
2025-08,서울특별시,남성,30,교통,583
2025-08,서울특별시,남성,30,국방,106
2025-08,서울특별시,남성,30,기타,131
2025-08,서울특별시,남성,30,노동,221
2025-08,서울특별시,남성,30,농림_축산,38
2025-08,서울특별시,남성,30,도로,171
2025-08,서울특별시,남성,30,도시,34
2025-08,서울특별시,남성,30,문화,146
2025-08,서울특별시,남성,30,방송통신,326
2025-08,서울특별시,남성,30,보건,287
2025-08,서울특별시,남성,30,복지,60
2025-08,서울특별시,남성,30,산업_통상,497
2025-08,서울특별시,남성,30,세무,69
2025-08,서울특별시,남성,30,수자원,38
2025-08,서울특별시,남성,30,외무통일,26
2025-08,서울특별시,남성,30,우정,23
2025-08,서울특별시,남성,30,재정,123
2025-08,서울특별시,남성,30,주택_건축,313
2025-08,서울특별시,남성,30,체육,32
2025-08,서울특별시,남성,30,해양수산,32
2025-08,서울특별시,남성,30,행정_안전,425
2025-08,서울특별시,남성,30,환경,129
2025-08,서울특별시,남성,40,경찰_검찰_법원,272
2025-08,서울특별시,남성,40,과학기술,160
2025-08,서울특별시,남성,40,관광,43
2025-08,서울특별시,남성,40,교육,140
2025-08,서울특별시,남성,40,교통,560
2025-08,서울특별시,남성,40,국방,211
2025-08,서울특별시,남성,40,기타,169
2025-08,서울특별시,남성,40,노동,110
2025-08,서울특별시,남성,40,농림_축산,29
2025-08,서울특별시,남성,40,도로,112
2025-08,서울특별시,남성,40,도시,26
2025-08,서울특별시,남성,40,문화,240
2025-08,서울특별시,남성,40,방송통신,120
2025-08,서울특별시,남성,40,보건,227
2025-08,서울특별시,남성,40,복지,70
2025-08,서울특별시,남성,40,산업_통상,432
2025-08,서울특별시,남성,40,세무,78
2025-08,서울특별시,남성,40,수자원,46
2025-08,서울특별시,남성,40,외무통일,40
2025-08,서울특별시,남성,40,우정,13
